,Unit,Session,Type,Description,Weight,Due,Length,School
2,GEOS1001,2024-S1C-ND-CC,Assignment,Prac assignment 1,15%,1 Mar 2024,"3 maps and 1,000 words",Geosciences Academic Operations
3,GEOS1001,2024-S1C-ND-CC,Assignment,Essay,20%,4 Apr 2024,"2,000 words (incl. references)",Geosciences Academic Operations
4,GEOS1001,2024-S1C-ND-CC,Small test,Mid-semester quiz,10%,7 Apr 2024,30 minutes,Geosciences Academic Operations
5,GEOS1001,2024-S1C-ND-CC,Assignment,Prac assignment 2,20%,4 May 2024,"5 maps and and 1,500 words",Geosciences Academic Operations
0,GEOS1901,2024-S1C-ND-CC,,Final Exam,30%,Formal exam period,50 minutes,Geosciences Academic Operations
1,GEOS1901,2024-S1C-ND-CC,Tutorial quiz,GEOS1X01 early feedback quiz,5%,Week 03,30 minutes,Geosciences Academic Operations
2,GEOS1901,2024-S1C-ND-CC,Assignment,Prac assignment 1,15%,1 Mar 2024,"3 maps and 1,000 words",Geosciences Academic Operations
3,GEOS1901,2024-S1C-ND-CC,Assignment,Essay,20%,4 Apr 2024,"2,000 words (incl. references)",Geosciences Academic Operations
4,GEOS1901,2024-S1C-ND-CC,Small test,Mid-semester quiz,10%,7 Apr 2024,30 minutes,Geosciences Academic Operations
5,GEOS1901,2024-S1C-ND-CC,Assignment,Prac assignment 2,20%,4 May 2024,"5 maps and and 1,500 words",Geosciences Academic Operations
0,GEOS2121,2024-S1C-ND-CC,,Final exam,30%,Formal exam period,2 hours,Geosciences Academic Operations
1,GEOS2121,2024-S1C-ND-CC,Participation,Tutorial participation,10%,Ongoing,50 minutes,Geosciences Academic Operations
2,GEOS2121,2024-S1C-ND-CC,Assignment,Essay,25%,5 Mar 2024,2000 words,Geosciences Academic Operations
3,GEOS2121,2024-S1C-ND-CC,Assignment,Fieldtrip report,25%,6 Apr 2024,1500 words,Geosciences Academic Operations
4,GEOS2121,2024-S1C-ND-CC,Assignment,Practical Report,10%,4 May 2024,500 words plus maps,Geosciences Academic Operations
0,GEOS2921,2024-S1C-ND-CC,,Final exam,30%,Formal exam period,2 hours,Geosciences Academic Operations
1,GEOS2921,2024-S1C-ND-CC,Participation,Participation (tutorial and lecture),10%,Ongoing,50 minutes,Geosciences Academic Operations
2,GEOS2921,2024-S1C-ND-CC,Assignment,Individual project,25%,8 Mar 2024,2000 words,Geosciences Academic Operations
3,GEOS2921,2024-S1C-ND-CC,Assignment,Fieldtrip report,25%,6 Apr 2024,1500 words,Geosciences Academic Operations
4,GEOS2921,2024-S1C-ND-CC,Assignment,Practical report,10%,4 May 2024,500words plus maps,Geosciences Academic Operations
0,ENVI3111,2024-S1C-ND-CC,,Final Examination,45%,Formal exam period,2 hours,Geosciences Academic Operations
1,ENVI3111,2024-S1C-ND-CC,Participation,Tutorial,15%,Multiple weeks,All semester,Geosciences Academic Operations
2,ENVI3111,2024-S1C-ND-CC,Assignment,Essay,40%,8 Apr 2024,2000 words,Geosciences Academic Operations
0,ENVI3911,2024-S1C-ND-CC,,Final examination,45%,Formal exam period,2 hours,Geosciences Academic Operations
1,ENVI3911,2024-S1C-ND-CC,Participation,Tutorial participation,15%,Multiple weeks,All semester,Geosciences Academic Operations
2,ENVI3911,2024-S1C-ND-CC,Assignment,Essay,40%,8 Apr 2024,2000 words,Geosciences Academic Operations
0,GEOS3520,2024-S1C-ND-CC,Assignment,Essay,40%,9 Apr 2024,2000 words,Geosciences Academic Operations
1,GEOS3520,2024-S1C-ND-CC,Presentation,Group Presentation,5%,Week 12,10 minutes,Geosciences Academic Operations
2,GEOS3520,2024-S1C-ND-CC,Assignment,Final Report,30%,4 May 2024,2000 words per group,Geosciences Academic Operations
3,GEOS3520,2024-S1C-ND-CC,Participation,Tutorial participation*,15%,Weekly,Tutorials take place weekly,Geosciences Academic Operations
4,GEOS3520,2024-S1C-ND-CC,Small continuous assessment,Weekly Lecture Quiz,10%,Weekly,10 minute quiz weekly in lectures,Geosciences Academic Operations
0,GEOS3920,2024-S1C-ND-CC,Presentation,Practical Project Presentation,5%,Week 11,10 minute group presentation,Geosciences Academic Operations
1,GEOS3920,2024-S1C-ND-CC,Assignment,Practical Project Final Report,30%,4 May 2024,2000 words per group,Geosciences Academic Operations
2,GEOS3920,2024-S1C-ND-CC,Assignment,GEOS3920 Advanced Group Project,40%,6 May 2023,2000 words per student,Geosciences Academic Operations
3,GEOS3920,2024-S1C-ND-CC,Participation,Tutorial participation and attendance,15%,Weekly,n/a,Geosciences Academic Operations
4,GEOS3920,2024-S1C-ND-CC,Small continuous assessment,Weekly Lecture Quiz,10%,Weekly,Weekly 10 minute quiz in lecture,Geosciences Academic Operations
0,AREC3002,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Economics
1,AREC3002,2024-S1C-ND-CC,Online task,Online Quizzes,40%,Multiple weeks,30 minutes,Economics
2,AREC3002,2024-S1C-ND-CC,Small test,Short report,10%,6 May 2024,1500wd max.,Economics
0,AREC3007,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Economics
1,AREC3007,2024-S1C-ND-CC,Small continuous assessment,Assignments,40%,Ongoing,Continuous,Economics
2,AREC3007,2024-S1C-ND-CC,Assignment,BCA report,20%,2 May 2024,Approx. 2000 words,Economics
0,EUST1001,2024-S1C-ND-CC,Small continuous assessment,Discussion boards and participation,30%,-,1500 words,European Studies
1,EUST1001,2024-S1C-ND-CC,Online task,Online quizzes,20%,Multiple weeks,500 words,European Studies
2,EUST1001,2024-S1C-ND-CC,Online task,Early Feedback Task,0%,Week 03,N/A,European Studies
3,EUST1001,2024-S1C-ND-CC,Assignment,Assignment 1,20%,4 Mar 2024,1000 words,European Studies
4,EUST1001,2024-S1C-ND-CC,Assignment,Assignment 2,30%,6 May 2024,1500 words,European Studies
0,EUST2005,2024-S1C-ND-CC,Assignment,Essay,55%,6 Jun 2023,3500 words,European Studies
1,EUST2005,2024-S1C-ND-CC,Presentation,Group presentation,20%,Multiple weeks,1000 words,European Studies
2,EUST2005,2024-S1C-ND-CC,Assignment,Analysis of readings/annotated bibliography,25%,5 Apr 2024,1500 words,European Studies
0,GRMN2633,2024-S1C-ND-CC,Assignment,Essay,50%,3 Jun 2024,3000 words,Germanic Studies
1,GRMN2633,2024-S1C-ND-CC,Presentation,Class presentation,25%,Ongoing,1500 words,Germanic Studies
2,GRMN2633,2024-S1C-ND-CC,Assignment,Tutorial paper,25%,2 Apr 2024,1500 words,Germanic Studies
0,JCTC3003,2024-S1C-ND-CC,Participation,Participation,10%,1 May 2024,Ongoing,"Hebrew, Biblical and Jewish Studies"
1,JCTC3003,2024-S1C-ND-CC,Assignment,Research proposal/annotated bibliography,25%,8 Mar 2024,1000 wds,"Hebrew, Biblical and Jewish Studies"
2,JCTC3003,2024-S1C-ND-CC,Assignment,Research essay,50%,6 May 2024,3000 wds,"Hebrew, Biblical and Jewish Studies"
3,JCTC3003,2024-S1C-ND-CC,Online task,Discussion board activity,15%,3 May 2024,500wds (2 X 250-word discussion posts),"Hebrew, Biblical and Jewish Studies"
0,MGRK3603,2024-S1C-ND-CC,Small test,written project,30%,Multiple weeks,2000 words equivalent,Modern Greek and Byzantine Studies
1,MGRK3603,2024-S1C-ND-CC,Assignment,Long essay,70%,Week 13,4000 words,Modern Greek and Byzantine Studies
0,FILM1000,2024-S1C-ND-CC,Assignment,Research Essay,40%,9 Jun 2024,2000 words,Film Studies
1,FILM1000,2024-S1C-ND-CC,Participation,Tutorial Participation & weekly quiz,20%,Ongoing,In class + quizzes (300wd in total),Film Studies
2,FILM1000,2024-S1C-ND-CC,Assignment,Weekly Journal,20%,Ongoing,1000 words,Film Studies
3,FILM1000,2024-S1C-ND-CC,Small test,Early Feedback Task,0%,Week 03,Less than 100 words,Film Studies
4,FILM1000,2024-S1C-ND-CC,Assignment,Sequence Analysis Paper,20%,1 Apr 2024,1200 words,Film Studies
0,FILM3000,2024-S1C-ND-CC,Assignment,Research Essay,50%,6 Jun 2024,2300 words,Film Studies
1,FILM3000,2024-S1C-ND-CC,Assignment,Special Journal Issue: Project Proposal,15%,8 Mar 2024,1000 words,Film Studies
2,FILM3000,2024-S1C-ND-CC,Assignment,Special Journal Issue: Submission,35%,0 May 2024,1200 words or equivalent,Film Studies
0,FINC2012,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Finance
1,FINC2012,2024-S1C-ND-CC,Assignment,Individual Assignment,25%,2 Apr 2024,2000 words,Finance
2,FINC2012,2024-S1C-ND-CC,Assignment,Group Assignment,25%,0 May 2024,4000 words,Finance
0,FINC3017,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,1.5 hours,Finance
1,FINC3017,2024-S1C-ND-CC,Assignment,Assignment 1,30%,7 Mar 2024,TBA - see Canvas,Finance
2,FINC3017,2024-S1C-ND-CC,Assignment,Assignment 2,30%,8 May 2024,TBA - see Canvas,Finance
0,FINC3600,2024-S1C-ND-CC,,Final Exam,40%,Formal exam period,2 hours,Finance
1,FINC3600,2024-S1C-ND-CC,Participation,Project 1 Participation,5%,Multiple weeks,Approx 1 hour over 3 sessions,Finance
2,FINC3600,2024-S1C-ND-CC,Participation,Project 2 Participation,5%,Multiple weeks,Approximately 1 hour over 3 sessions,Finance
3,FINC3600,2024-S1C-ND-CC,Assignment,Project 1 Briefing paper,5%,5 Mar 2024,2 pages,Finance
4,FINC3600,2024-S1C-ND-CC,Assignment,Project 1 Briefing paper,5%,5 Mar 2024,2 pages,Finance
5,FINC3600,2024-S1C-ND-CC,Assignment,Project 1 Presentation slides,3%,5 Apr 2024,15 pages,Finance
6,FINC3600,2024-S1C-ND-CC,Presentation,Project 1 Presentation,7%,Week 08,20 minutes,Finance
7,FINC3600,2024-S1C-ND-CC,Presentation,Project 1 Presentation,5%,Week 08,20 minutes,Finance
8,FINC3600,2024-S1C-ND-CC,Assignment,Project 2 Briefing paper,5%,6 May 2024,1 page,Finance
9,FINC3600,2024-S1C-ND-CC,Assignment,Project 2 Presentation slides,7%,3 May 2024,10 pages,Finance
10,FINC3600,2024-S1C-ND-CC,Presentation,Project 2 Presentation,3%,Week 12,20 minutes,Finance
11,FINC3600,2024-S1C-ND-CC,Presentation,Project 2 Presentation,10%,Week 12,20 minutes,Finance
0,BANK3011,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Finance
1,BANK3011,2024-S1C-ND-CC,,Mid-semester test,25%,3 Apr 2024,1 hour,Finance
2,BANK3011,2024-S1C-ND-CC,Assignment,Group assignment,25%,0 May 2024,10 A4 pages,Finance
0,FINC3011,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Finance
1,FINC3011,2024-S1C-ND-CC,,Mid-semester exam,20%,2 Apr 2024,1 hour,Finance
2,FINC3011,2024-S1C-ND-CC,Assignment,Group assignment,30%,0 May 2024,10 A4 pages,Finance
0,FINC3015,2024-S1C-ND-CC,Assignment,Case Study 1: Individual Case Study Report,35%,8 Mar 2024,To be advised in assignment brief.,Finance
1,FINC3015,2024-S1C-ND-CC,Assignment,Case Study 2: Individual Case Study Report,35%,3 May 2024,To be advised in assignment brief.,Finance
2,FINC3015,2024-S1C-ND-CC,Assignment,Group Assignment,30%,9 May 2024,To be advised in assignment brief.,Finance
0,FINC3400,2024-S1C-ND-CC,Participation,Attendance,0%,Ongoing,NA,Finance
1,FINC3400,2024-S1C-ND-CC,Assignment,Individual Statement One,0%,3 Mar 2024,500 words,Finance
2,FINC3400,2024-S1C-ND-CC,Assignment,Group Plan,20%,4 Mar 2024,2000 words,Finance
3,FINC3400,2024-S1C-ND-CC,Assignment,Individual Statement Two,20%,1 Apr 2024,500 words,Finance
4,FINC3400,2024-S1C-ND-CC,Presentation,Group Presentation,20%,7 May 2024,≤10 minutes,Finance
5,FINC3400,2024-S1C-ND-CC,Assignment,Group Project Report,40%,4 May 2024,4000 words,Finance
6,FINC3400,2024-S1C-ND-CC,Assignment,Group work survey,0%,6 May 2024,NA,Finance
0,FINC3400,2024-S1CIFE-BM-CC,Participation,Attendance,0%,Ongoing,NA,Finance
1,FINC3400,2024-S1CIFE-BM-CC,Assignment,Individual Statement One,0%,4 Jan 2024,500 words,Finance
2,FINC3400,2024-S1CIFE-BM-CC,Assignment,Group Plan,20%,0 Jan 2024,2000 words,Finance
3,FINC3400,2024-S1CIFE-BM-CC,Presentation,Group Presentation,20%,6 Feb 2024,≤10 minutes,Finance
4,FINC3400,2024-S1CIFE-BM-CC,Assignment,Group Project Project,40%,6 Feb 2024,4000 words,Finance
5,FINC3400,2024-S1CIFE-BM-CC,Assignment,Individual Statement Two,20%,3 Feb 2024,500 words,Finance
6,FINC3400,2024-S1CIFE-BM-CC,Assignment,Group work survey,0%,8 Feb 2024,NA,Finance
0,FINC3301,2024-S1C-ND-CC,Presentation,Investment update presentation,10%,4 Mar 2024,10 minute presentation,Finance
1,FINC3301,2024-S1C-ND-CC,Assignment,Stock pitch,10%,2 Apr 2024,15 minute presentation,Finance
2,FINC3301,2024-S1C-ND-CC,Assignment,Stock pitch and sector outlook report,40%,6 May 2024,30 pages,Finance
3,FINC3301,2024-S1C-ND-CC,Presentation,Functional team analysis,10%,Weekly,n/a,Finance
4,FINC3301,2024-S1C-ND-CC,Participation,Stock pitch ideas and discussion,30%,Weekly,n/a,Finance
0,ECMT2130,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Economics
1,ECMT2130,2024-S1C-ND-CC,Short release assignment,Mini Test 1,15%,8 Mar 2024,1 hour + 30 min upload,Economics
2,ECMT2130,2024-S1C-ND-CC,Short release assignment,Mini Test 2,15%,9 Apr 2024,1 hour + 30 min upload,Economics
3,ECMT2130,2024-S1C-ND-CC,Assignment,Group Assignment,20%,Week 13,TBD,Economics
0,ECOS2040,2024-S1C-ND-CC,,Final exam,25%,Formal exam period,1 hour,Economics
1,ECOS2040,2024-S1C-ND-CC,Small test,Online Quiz 1,5%,5 Mar 2024,n/a,Economics
2,ECOS2040,2024-S1C-ND-CC,Small test,Online Quiz 2,5%,9 Mar 2024,n/a,Economics
3,ECOS2040,2024-S1C-ND-CC,Assignment,Assignment 1,15%,9 Mar 2024,750 words,Economics
4,ECOS2040,2024-S1C-ND-CC,,In-semester test,25%,6 Apr 2024,1 hour,Economics
5,ECOS2040,2024-S1C-ND-CC,Small test,Online Quiz 3,5%,0 May 2024,n/a,Economics
6,ECOS2040,2024-S1C-ND-CC,Small test,Online Quiz 4,5%,4 May 2024,n/a,Economics
7,ECOS2040,2024-S1C-ND-CC,Assignment,Assignment 2,15%,4 May 2024,750 words,Economics
0,MATH1061,2024-S1C-ND-CC,,Final exam,60%,Formal exam period,2 hours,Mathematics and Statistics Academic Operations
1,MATH1061,2024-S1C-ND-CC,Small test,Webwork online quizzes 1-2,2%,Multiple weeks,40 minutes per quiz,Mathematics and Statistics Academic Operations
2,MATH1061,2024-S1C-ND-CC,Small test,Webwork online quizzes 3-10,6%,Multiple weeks,40 minutes/week,Mathematics and Statistics Academic Operations
3,MATH1061,2024-S1C-ND-CC,Short release assignment,Assignment 1,5%,7 Mar 2024,3-4 pages,Mathematics and Statistics Academic Operations
4,MATH1061,2024-S1C-ND-CC,Online task,Quiz,15%,7 Apr 2024,50 minutes,Mathematics and Statistics Academic Operations
5,MATH1061,2024-S1C-ND-CC,Short release assignment,Assignment 2,10%,2 May 2024,6-8 pages,Mathematics and Statistics Academic Operations
6,MATH1061,2024-S1C-ND-CC,Participation,Tutorials,2%,Weekly,2x50 minutes/week,Mathematics and Statistics Academic Operations
0,MATH1062,2024-S1C-ND-CC,,Final exam,60%,Formal exam period,2 hours,Mathematics and Statistics Academic Operations
1,MATH1062,2024-S1C-ND-CC,Small test,Webwork quizzes and RQuizzes,2%,Multiple weeks,40 minutes/week,Mathematics and Statistics Academic Operations
2,MATH1062,2024-S1C-ND-CC,Short release assignment,Assignment 1,5%,7 Mar 2024,2-4 pages and an R markdown report,Mathematics and Statistics Academic Operations
3,MATH1062,2024-S1C-ND-CC,Online task,Quiz,15%,0 Apr 2024,50 minutes,Mathematics and Statistics Academic Operations
4,MATH1062,2024-S1C-ND-CC,Short release assignment,Assignment 2,10%,5 May 2024,6-8 pages and an R markdown report,Mathematics and Statistics Academic Operations
5,MATH1062,2024-S1C-ND-CC,Participation,Tutorials and labs,2%,Weekly,2x50 minutes/week,Mathematics and Statistics Academic Operations
6,MATH1062,2024-S1C-ND-CC,Small test,Webwork quizzes and RQuizzes,6%,Weekly,40 minutes/week,Mathematics and Statistics Academic Operations
0,MATH1961,2024-S1C-ND-CC,,Final exam,60%,Formal exam period,2 hours,Mathematics and Statistics Academic Operations
1,MATH1961,2024-S1C-ND-CC,Small test,Webwork online quizzes,2%,Multiple weeks,40 minutes/week,Mathematics and Statistics Academic Operations
2,MATH1961,2024-S1C-ND-CC,Short release assignment,Assignment 1,5%,7 Mar 2024,4-6 pages,Mathematics and Statistics Academic Operations
3,MATH1961,2024-S1C-ND-CC,Online task,Quiz,13%,8 Apr 2024,50 minutes,Mathematics and Statistics Academic Operations
4,MATH1961,2024-S1C-ND-CC,Short release assignment,Assignment 2,10%,2 May 2024,6-10 pages,Mathematics and Statistics Academic Operations
5,MATH1961,2024-S1C-ND-CC,Participation,Tutorial Participation,2%,Weekly,2x50 minutes/week,Mathematics and Statistics Academic Operations
6,MATH1961,2024-S1C-ND-CC,Small test,Webwork online quizzes,8%,Weekly,40 minutes/week,Mathematics and Statistics Academic Operations
0,MATH1971,2024-S1C-ND-CC,,Final exam,60%,Formal exam period,2 hours,Mathematics and Statistics Academic Operations
1,MATH1971,2024-S1C-ND-CC,Presentation,Presentation,3%,Multiple weeks,5 minutes,Mathematics and Statistics Academic Operations
2,MATH1971,2024-S1C-ND-CC,Small test,Webwork online quizzes,2%,Multiple weeks,40 minutes/week,Mathematics and Statistics Academic Operations
3,MATH1971,2024-S1C-ND-CC,Short release assignment,Assignment 1,4%,7 Mar 2024,4-6 pages,Mathematics and Statistics Academic Operations
4,MATH1971,2024-S1C-ND-CC,Online task,Quiz,13%,8 Apr 2024,50 minutes,Mathematics and Statistics Academic Operations
5,MATH1971,2024-S1C-ND-CC,Short release assignment,Assignment 2,8%,2 May 2024,6-10 pages,Mathematics and Statistics Academic Operations
6,MATH1971,2024-S1C-ND-CC,Participation,Seminar participation,3%,Weekly,1x50 minutes/week,Mathematics and Statistics Academic Operations
7,MATH1971,2024-S1C-ND-CC,Small test,Webwork online quizzes,7%,Weekly,40 minutes/week,Mathematics and Statistics Academic Operations
0,FOOD3001,2024-S1C-ND-CC,,Final exam,30%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,FOOD3001,2024-S1C-ND-CC,Assignment,Product specification,10%,8 Mar 2024,4 pages,Life and Environmental Sciences Academic Operations
2,FOOD3001,2024-S1C-ND-CC,Assignment,Analytical report,20%,6 Apr 2024,4 pages,Life and Environmental Sciences Academic Operations
3,FOOD3001,2024-S1C-ND-CC,Presentation,Processing primer,20%,4 May 2024,10 min,Life and Environmental Sciences Academic Operations
4,FOOD3001,2024-S1C-ND-CC,Online task,Pre-lecture quizzes,20%,Weekly,15 min each,Life and Environmental Sciences Academic Operations
0,FOOD3002,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,FOOD3002,2024-S1C-ND-CC,Small test,Water in Foods Quiz,6%,7 Mar 2024,12 short and longer-answer questions,Life and Environmental Sciences Academic Operations
2,FOOD3002,2024-S1C-ND-CC,Small test,Food Polysaccharides Quiz,6%,1 Mar 2024,12 short and longer-answer questions,Life and Environmental Sciences Academic Operations
3,FOOD3002,2024-S1C-ND-CC,Small test,Lipids in Foods Quiz,6%,1 Apr 2024,12 short and longer-answer questions,Life and Environmental Sciences Academic Operations
4,FOOD3002,2024-S1C-ND-CC,Assignment,Lipids in Foods Poster,10%,1 Apr 2024,A3 size,Life and Environmental Sciences Academic Operations
5,FOOD3002,2024-S1C-ND-CC,Assignment,Proteins in Foods Lab Report,20%,9 May 2024,1200 - 1500 words,Life and Environmental Sciences Academic Operations
6,FOOD3002,2024-S1C-ND-CC,Small test,Phenolics and Antioxidants Quiz,6%,6 May 2024,12 short and longer-answer questions,Life and Environmental Sciences Academic Operations
7,FOOD3002,2024-S1C-ND-CC,Small test,Fermentation in Foods Quiz,6%,3 May 2024,12 short and longer-answer questions,Life and Environmental Sciences Academic Operations
0,FRNC1601,2024-S1C-ND-CC,Participation,Active class participation,10%,4 May 2024,Ongoing active participation,French and Francophone Studies
1,FRNC1601,2024-S1C-ND-CC,Online task,"Weekly discussion post part 2, from Week 4 to end of semester",5%,4 May 2024,Equivalent to 400 words in English total,French and Francophone Studies
2,FRNC1601,2024-S1C-ND-CC,Online task,Weekly discussion post part 1: Week 3 Early assessment task),5%,8 Mar 2024,Equivalent to 100 words in English,French and Francophone Studies
3,FRNC1601,2024-S1C-ND-CC,Presentation,Oral Test (in class),15%,2 Apr 2024,Equivalent to 500 words in English,French and Francophone Studies
4,FRNC1601,2024-S1C-ND-CC,Assignment,Individual project,20%,6 Apr 2024,Equivalent to 1000 words in English,French and Francophone Studies
5,FRNC1601,2024-S1C-ND-CC,Small test,In class written test,20%,3 May 2024,Equivalent to 1000 words in English,French and Francophone Studies
6,FRNC1601,2024-S1C-ND-CC,Presentation,Final Test (oral test),25%,4 May 2024,Equivalent to 1500 words in English,French and Francophone Studies
0,FRNC2603,2024-S1C-ND-CC,Participation,Seminar Preparation and Participation,10%,Ongoing,All semester,French and Francophone Studies
1,FRNC2603,2024-S1C-ND-CC,Small test,Final Oral Test,30%,Please select a valid week from the list below,15 minutes (oral),French and Francophone Studies
2,FRNC2603,2024-S1C-ND-CC,Small continuous assessment,Early Feedback Written Task,0%,Week 02,equiv 500 wds,French and Francophone Studies
3,FRNC2603,2024-S1C-ND-CC,Small test,Grammar Test 1,20%,Week 06,equiv 1000wds,French and Francophone Studies
4,FRNC2603,2024-S1C-ND-CC,Small test,In-class Listening Comprehension test,20%,Week 08,eq 1000wds,French and Francophone Studies
5,FRNC2603,2024-S1C-ND-CC,Small test,Grammar Test 2,20%,Week 11,equiv 1000wds,French and Francophone Studies
0,FRNC3001,2024-S1C-ND-CC,Participation,Tutorial preparation and participation,10%,Multiple weeks,n/a,French and Francophone Studies
1,FRNC3001,2024-S1C-ND-CC,Tutorial quiz,2 x Grammar Quizzes,15%,Multiple weeks,Eq 600 wds (300 wds each),French and Francophone Studies
2,FRNC3001,2024-S1C-ND-CC,Assignment,Scaffolded Research Project,50%,Multiple weeks,Eq 2500 wds,French and Francophone Studies
3,FRNC3001,2024-S1C-ND-CC,Small continuous assessment,Individual Oral Interview,25%,Week 07,5-7 min per student. Eq 1400wd,French and Francophone Studies
0,AVBS2005,2024-S1C-ND-CC,,Final Examination,55%,Formal exam period,1.5 hours,Life and Environmental Sciences Academic Operations
1,AVBS2005,2024-S1C-ND-CC,Small test,Computer based self-tests,0%,Ongoing,Variable,Life and Environmental Sciences Academic Operations
2,AVBS2005,2024-S1C-ND-CC,Tutorial quiz,Practical class 1 preparation quiz.,0%,Week 02,15 minutes,Life and Environmental Sciences Academic Operations
3,AVBS2005,2024-S1C-ND-CC,Assignment,Practical class 2 preparation discussion board submission,0%,6 Mar 2024,15 minutes,Life and Environmental Sciences Academic Operations
4,AVBS2005,2024-S1C-ND-CC,Tutorial quiz,Practical class 3 preparation quiz,0%,4 Mar 2024,15 minutes,Life and Environmental Sciences Academic Operations
5,AVBS2005,2024-S1C-ND-CC,,Mid Semester Examination,25%,2 Apr 2024,50 minutes,Life and Environmental Sciences Academic Operations
6,AVBS2005,2024-S1C-ND-CC,Assignment,Cytology group assignment,20%,8 Apr 2024,See Canvas for agreed rules,Life and Environmental Sciences Academic Operations
7,AVBS2005,2024-S1C-ND-CC,Assignment,Case study report form submission,0%,7 May 2024,1 hour,Life and Environmental Sciences Academic Operations
0,GEOS2123,2024-S1C-ND-CC,,Final Exam,30%,Formal exam period,2 hours,Geosciences Academic Operations
1,GEOS2123,2024-S1C-ND-CC,Assignment,Research essay,30%,4 Apr 2024,2000 words,Geosciences Academic Operations
2,GEOS2123,2024-S1C-ND-CC,Assignment,Field trips and field trip report,25%,4 May 2024,1500 words,Geosciences Academic Operations
3,GEOS2123,2024-S1C-ND-CC,Participation,Tutorial attendance and participation,15%,Weekly,n/a,Geosciences Academic Operations
0,GEOS2923,2024-S1C-ND-CC,,Final Exam,30%,Formal exam period,2 hours,Geosciences Academic Operations
1,GEOS2923,2024-S1C-ND-CC,Assignment,Advanced Project,30%,4 May 2024,"A group report, 2000 words per student",Geosciences Academic Operations
2,GEOS2923,2024-S1C-ND-CC,Assignment,Field trip report,25%,4 May 2024,1500 words,Geosciences Academic Operations
3,GEOS2923,2024-S1C-ND-CC,Participation,Tutorial attendance and participation,15%,Weekly,"One hour/week, weeks 1-10 and week 13",Geosciences Academic Operations
0,GEOS3009,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Geosciences Academic Operations
1,GEOS3009,2024-S1C-ND-CC,Tutorial quiz,Quiz,20%,Week 02,30 minutes,Geosciences Academic Operations
2,GEOS3009,2024-S1C-ND-CC,Tutorial quiz,Quiz,10%,Week 08,30 minutes,Geosciences Academic Operations
3,GEOS3009,2024-S1C-ND-CC,Tutorial quiz,Quiz,10%,Week 10,30 minutes,Geosciences Academic Operations
4,GEOS3009,2024-S1C-ND-CC,Assignment,Modelling report,20%,9 May 2024,up to 10 page report,Geosciences Academic Operations
0,GEOS3909,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Geosciences Academic Operations
1,GEOS3909,2024-S1C-ND-CC,Tutorial quiz,Quiz,20%,Week 02,30 minutes,Geosciences Academic Operations
2,GEOS3909,2024-S1C-ND-CC,Tutorial quiz,Quiz,10%,Week 08,30 minutes,Geosciences Academic Operations
3,GEOS3909,2024-S1C-ND-CC,Tutorial quiz,Quiz,10%,Week 10,30 mins,Geosciences Academic Operations
4,GEOS3909,2024-S1C-ND-CC,Assignment,Modelling report,20%,9 May 2024,up to 10 page report,Geosciences Academic Operations
0,GEOS3103,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Geosciences Academic Operations
1,GEOS3103,2024-S1C-ND-CC,Assignment,Laboratory Assignment 1,10%,8 Feb 2024,"Module 1, Practical 1",Geosciences Academic Operations
2,GEOS3103,2024-S1C-ND-CC,Assignment,Laboratory Assignment 2,10%,6 Mar 2024,"Module 1, Practical 2",Geosciences Academic Operations
3,GEOS3103,2024-S1C-ND-CC,Assignment,Laboratory Assignment 3,10%,0 Apr 2024,"Module 1, Practical 3",Geosciences Academic Operations
4,GEOS3103,2024-S1C-ND-CC,Assignment,Laboratory Assignment 4,12%,8 Apr 2024,"Module 2, Practical 1",Geosciences Academic Operations
5,GEOS3103,2024-S1C-ND-CC,Assignment,Laboratory Assignment 5,12%,2 May 2024,"Module 2, Practical 2",Geosciences Academic Operations
6,GEOS3103,2024-S1C-ND-CC,Assignment,Laboratory Assignment 6,6%,4 May 2024,"Module 2, Practical 3",Geosciences Academic Operations
0,GEOS3803,2024-S1C-ND-CC,,Final Exam,40%,Formal exam period,2 hours,Geosciences Academic Operations
1,GEOS3803,2024-S1C-ND-CC,Assignment,Laboratory Assignment 1,10%,8 Feb 2024,"Module 1, Practical 1",Geosciences Academic Operations
2,GEOS3803,2024-S1C-ND-CC,Assignment,Laboratory Assignment 2,10%,6 Mar 2024,"Module 1, Practical 2",Geosciences Academic Operations
3,GEOS3803,2024-S1C-ND-CC,Assignment,Laboratory Assignment 3,10%,0 Apr 2024,"Module 1, Practical 3",Geosciences Academic Operations
